"municipality","state","latitude","longitude"
"ANTONIO CARLOS","SC","-27.51","-48.76"
"ANTONIO DIAS","MG","-19.649999999999999","-42.87"
"ANTONIO GONCALVES","BA","-10.57","-40.270000000000003"
"ANTONIO JOAO","MS","-22.19","-55.94"
"ANTONIO MARTINS","RN","-6.21","-37.9"
"ANTONIO OLINTO","PR","-25.98","-50.19"
"ANTONIO PRADO","RS","-28.85","-51.28"
"ANTONIO PRADO DE MINAS","MG","-21.01","-42.1"
"APARECIDA","PB","-6.78","-38.08"
"APARECIDA","SP","-22.84","-45.23"
"APARECIDA DE GOIANIA","GO","-16.82","-49.24"
"APARECIDA DO RIO DOCE","GO","-18.29","-51.14"
"APARECIDA DO RIO NEGRO","TO","-9.9499999999999993","-47.97"
"APARECIDA DO TABOADO","MS","-20.079999999999998","-51.09"
"APARECIDA D'OESTE","SP","-20.440000000000001","-50.88"
"APERIBE","RJ","-21.62","-42.1"
"APIACA","ES","-21.15","-41.56"
"APIACAS","MT","-9.5399999999999991","-57.44"
"APIAI","SP","-24.5","-48.84"
"APICUM-ACU","MA","-1.46","-45.1"
"APIUNA","SC","-27.03","-49.39"
"APODI","RN","-5.66","-37.79"
"APORA","BA","-11.66","-38.08"
"APORE","GO","-18.96","-51.92"
"APUAREMA","BA","-13.85","-39.74"
"APUCARANA","PR","-23.55","-51.46"
"APUI","AM","-7.19","-59.89"
"APUIARES","CE","-3.94","-39.43"
"AQUIDABA","SE","-10.28","-37.01"
"AQUIDAUANA","MS","-20.47","-55.78"
"AQUIRAZ","CE","-3.9","-38.39"
"ARABUTA","SC","-27.16","-52.14"
"ARACAGI","PB","-6.85","-35.380000000000003"
"ARACAI","MG","-19.190000000000001","-44.24"
"ARACAJU","SE","-10.91","-37.07"
"ARACARIGUAMA","SP","-23.43","-47.06"
"ARACAS","BA","-12.22","-38.200000000000003"
"ARACATI","CE","-4.5599999999999996","-37.770000000000003"
"ARACATU","BA","-14.42","-41.46"
"ARACATUBA","SP","-21.2","-50.43"
"ARACI","BA","-11.33","-38.96"
"ARACITABA","MG","-21.34","-43.37"
"ARACOIABA","CE","-4.37","-38.81"
"ARACOIABA","PE","-7.79","-35.090000000000003"
"ARACOIABA DA SERRA","SP","-23.5","-47.61"
"ARACRUZ","ES","-19.82","-40.270000000000003"
"ARACU","GO","-16.350000000000001","-49.68"
"ARACUAI","MG","-16.850000000000001","-42.07"
"ARAGARCAS","GO","-15.89","-52.25"
"ARAGOIANIA","GO","-16.91","-49.45"
"ARAGOMINAS","TO","-7.16","-48.52"
"ARAGUACEMA","TO","-8.8000000000000007","-49.55"
"ARAGUACU","TO","-12.93","-49.82"
"ARAGUAIANA","MT","-15.73","-51.83"
"ARAGUAINA","TO","-7.19","-48.2"
"ARAGUAINHA","MT","-16.850000000000001","-53.03"
"ARAGUANA","MA","-2.95","-45.66"
"ARAGUANA","TO","-6.58","-48.64"
"ARAGUAPAZ","GO","-15.09","-50.63"
"ARAGUARI","MG","-18.64","-48.18"
"ARAGUATINS","TO","-5.65","-48.12"
"ARAIOSES","MA","-2.89","-41.9"
"ARAL MOREIRA","MS","-22.93","-55.63"
"ARAMARI","BA","-12.08","-38.49"
"ARAMBARE","RS","-30.91","-51.49"
"ARAME","MA","-4.7300000000000004","-45.9"
"ARAMINA","SP","-20.09","-47.78"
"ARANDU","SP","-23.13","-49.05"
"ARANTINA","MG","-21.91","-44.25"
"ARAPEI","SP","-22.67","-44.44"
"ARAPIRACA","AL","-9.75","-36.659999999999997"
"ARAPOEMA","TO","-7.65","-49.06"
"ARAPONGA","MG","-20.66","-42.52"
"ARAPONGAS","PR","-23.41","-51.42"
"ARAPORA","MG","-18.43","-49.18"
"ARAPOTI","PR","-24.15","-49.82"
"ARAPUA","MG","-19.03","-46.15"
"ARAPUA","PR","-24.31","-51.78"
"ARAPUTANGA","MT","-15.47","-58.35"
"ARAQUARI","SC","-26.37","-48.72"
"ARARA","PB","-6.82","-35.75"
"ARARANGUA","SC","-28.93","-49.48"
"ARARAQUARA","SP","-21.79","-48.17"
"ARARAS","SP","-22.35","-47.38"
"ARARENDA","CE","-4.75","-40.83"
"ARARI","MA","-3.45","-44.78"
"ARARICA","RS","-29.61","-50.92"
"ARARIPE","CE","-7.21","-40.04"
"ARARIPINA","PE","-7.57","-40.49"
"ARARUAMA","RJ","-22.87","-42.34"
"ARARUNA","PB","-6.55","-35.74"
"ARARUNA","PR","-23.93","-52.49"
"ARATACA","BA","-15.26","-39.409999999999997"
"ARATIBA","RS","-27.39","-52.3"
"ARATUBA","CE","-4.41","-39.04"
"ARATUIPE","BA","-13.07","-39"
"ARAUA","SE","-11.26","-37.619999999999997"
"ARAUCARIA","PR","-25.59","-49.41"
"ARAUJOS","MG","-19.940000000000001","-45.16"
"ARAXA","MG","-19.59","-46.94"
"ARCEBURGO","MG","-21.36","-46.94"
"ARCO-IRIS","SP","-21.77","-50.46"
"ARCOS","MG","-20.28","-45.53"
"ARCOVERDE","PE","-8.41","-37.049999999999997"
"AREADO","MG","-21.35","-46.14"
"AREAL","RJ","-22.23","-43.1"
"AREALVA","SP","-22.02","-48.91"
"AREIA","PB","-6.96","-35.69"
"AREIA BRANCA","RN","-4.95","-37.130000000000003"
"AREIA BRANCA","SE","-10.75","-37.31"
"AREIA DE BARAUNAS","PB","-7.12","-36.94"
"AREIAL","PB","-7.02","-35.9"
"AREIAS","SP","-22.58","-44.69"
"AREIOPOLIS","SP","-22.66","-48.66"
"ARENAPOLIS","MT","-14.45","-56.84"
"ARENOPOLIS","GO","-16.38","-51.56"
"ARES","RN","-6.19","-35.159999999999997"
"ARGIRITA","MG","-21.61","-42.83"
"ARICANDUVA","MG","-17.86","-42.55"
"ARINOS","MG","-15.91","-46.1"
"ARIPUANA","MT","-10.16","-59.45"
"ARIQUEMES","RO","-9.91","-63.04"
"ARIRANHA","SP","-21.18","-48.78"
"ARIRANHA DO IVAI","PR","-24.38","-51.58"
"ARMACAO DE BUZIOS","RJ","-22.74","-41.88"
"ARMAZEM","SC","-28.26","-49.01"
"ARNEIROZ","CE","-6.32","-40.159999999999997"
"AROAZES","PI","-6.11","-41.79"
"AROEIRAS","PB","-7.54","-35.700000000000003"
"ARRAIAL","PI","-6.65","-42.53"
"ARRAIAL DO CABO","RJ","-22.96","-42.02"
"ARRAIAS","TO","-12.93","-46.93"
"ARROIO DO MEIO","RS","-29.4","-51.94"
"ARROIO DO SAL","RS","-29.55","-49.88"
"ARROIO DO TIGRE","RS","-29.33","-53.09"
"ARROIO DOS RATOS","RS","-30.07","-51.72"
"ARROIO GRANDE","RS","-32.229999999999997","-53.08"
"ARROIO TRINTA","SC","-26.93","-51.33"
"ARTUR NOGUEIRA","SP","-22.57","-47.17"
"ARUANA","GO","-14.92","-51.08"
"ARUJA","SP","-23.39","-46.32"
"ARVOREDO","SC","-27.07","-52.45"
"ARVOREZINHA","RS","-28.87","-52.17"
"ASCURRA","SC","-26.95","-49.37"
"ASPASIA","SP","-20.149999999999999","-50.72"
"ASSAI","PR","-23.37","-50.84"
"ASSARE","CE","-6.87","-39.869999999999997"
"ASSIS","SP","-22.66","-50.41"
"ASSIS BRASIL","AC","-10.94","-69.56"
"ASSIS CHATEAUBRIAND","PR","-24.42","-53.52"
"ASSUNCAO","PB","-7.07","-36.729999999999997"
"ASSUNCAO DO PIAUI","PI","-5.86","-41.03"
"ASTOLFO DUTRA","MG","-21.31","-42.86"
"ASTORGA","PR","-23.23","-51.66"
"ATALAIA","AL","-9.5","-36.020000000000003"
"ATALAIA","PR","-23.15","-52.05"
"ATALAIA DO NORTE","AM","-4.37","-70.19"
"ATALANTA","SC","-27.42","-49.78"
"ATALEIA","MG","-18.04","-41.11"
"ATIBAIA","SP","-23.11","-46.55"
"ATILIO VIVACQUA","ES","-20.91","-41.19"
"AUGUSTINOPOLIS","TO","-5.46","-47.88"
"AUGUSTO CORREA","PA","-1.02","-46.64"
"AUGUSTO DE LIMA","MG","-18.100000000000001","-44.26"
"AUGUSTO PESTANA","RS","-28.51","-53.99"
"AUGUSTO SEVERO","RN","-5.86","-37.31"
"AUREA","RS","-27.69","-52.04"
"AURELINO LEAL","BA","-14.31","-39.32"
"AURIFLAMA","SP","-20.68","-50.55"
"AURILANDIA","GO","-16.68","-50.46"
"AURORA","CE","-6.94","-38.96"
"AURORA","SC","-27.31","-49.63"
"AURORA DO PARA","PA","-2.13","-47.56"
"AURORA DO TOCANTINS","TO","-12.71","-46.4"
"AUTAZES","AM","-3.58","-59.13"
"AVAI","SP","-22.14","-49.33"
"AVANHANDAVA","SP","-21.46","-49.95"
"AVARE","SP","-23.09","-48.92"
"AVEIRO","PA","-3.6","-55.33"
"AVELINO LOPES","PI","-10.130000000000001","-43.94"
"AVELINOPOLIS","GO","-16.46","-49.75"
"AXIXA","MA","-2.83","-44.05"
"AXIXA DO TOCANTINS","TO","-5.61","-47.76"
"BABACULANDIA","TO","-7.2","-47.75"
"BACABAL","MA","-4.22","-44.78"
"BACABEIRA","MA","-2.97","-44.31"
"BACURI","MA","-1.7","-45.13"
"BACURITUBA","MA","-2.7","-44.73"
"BADY BASSITT","SP","-20.91","-49.44"
"BAEPENDI","MG","-21.95","-44.89"
"BAGE","RS","-31.33","-54.1"
"BAGRE","PA","-1.9","-50.16"
"BAIA DA TRAICAO","PB","-6.68","-34.93"
"BAIA FORMOSA","RN","-6.36","-35"
"BAIANOPOLIS","BA","-12.3","-44.53"
"BAIAO","PA","-2.79","-49.67"
"BAIXA GRANDE","BA","-11.96","-40.159999999999997"
"BAIXA GRANDE DO RIBEIRO","PI","-7.85","-45.21"
"BAIXIO","CE","-6.73","-38.71"
"BAIXO GUANDU","ES","-19.510000000000002","-41.01"
"BALBINOS","SP","-21.9","-49.35"
"BALDIM","MG","-19.28","-43.95"
"BALIZA","GO","-16.190000000000001","-52.54"
"BALNEARIO ARROIO DO SILVA","SC","-28.98","-49.41"
"BALNEARIO BARRA DO SUL","SC","-26.45","-48.61"
"BALNEARIO CAMBORIU","SC","-26.99","-48.63"
"BALNEARIO GAIVOTA","SC","-29.15","-49.57"
"BALNEARIO PINHAL","RS","-30.24","-50.23"
"BALSA NOVA","PR","-25.58","-49.63"
"BALSAMO","SP","-20.73","-49.58"
"BALSAS","MA","-7.53","-46.03"
"BAMBUI","MG","-20","-45.97"
"BANABUIU","CE","-5.31","-38.92"
"BANANAL","SP","-22.68","-44.32"
"BANANEIRAS","PB","-6.75","-35.630000000000003"
"BANDEIRA","MG","-15.88","-40.549999999999997"
"BANDEIRA DO SUL","MG","-21.72","-46.38"
"BANDEIRANTE","SC","-26.76","-53.63"
"BANDEIRANTES","MS","-19.91","-54.36"
"BANDEIRANTES","PR","-23.11","-50.36"
"BANDEIRANTES DO TOCANTINS","TO","-7.75","-48.58"
"BANNACH","PA","-7.34","-50.39"
"BANZAE","BA","-10.57","-38.61"
"BARAO","RS","-29.37","-51.49"
"BARAO DE ANTONINA","SP","-23.62","-49.56"
"BARAO DE COCAIS","MG","-19.940000000000001","-43.48"
"BARAO DE COTEGIPE","RS","-27.62","-52.38"
"BARAO DE GRAJAU","MA","-6.75","-43.02"
"BARAO DE MELGACO","MT","-16.27","-55.95"
"BARAO DE MONTE ALTO","MG","-21.24","-42.23"
"BARAO DO TRIUNFO","RS","-30.38","-51.73"
"BARAUNA","PB","-6.64","-36.25"
"BARAUNA","RN","-5.08","-37.61"
"BARBACENA","MG","-21.22","-43.77"
"BARBALHA","CE","-7.3","-39.299999999999997"
"BARBOSA","SP","-21.26","-49.94"
"BARBOSA FERRAZ","PR","-24.03","-52.01"
"BARCARENA","PA","-1.5","-48.62"
"BARCELONA","RN","-5.95","-35.92"
"BARCELOS","AM","-0.97","-62.92"
"BARIRI","SP","-22.07","-48.74"
"BARRA","BA","-11.08","-43.14"
"BARRA BONITA","SC","-26.65","-53.44"
"BARRA BONITA","SP","-22.49","-48.55"
"BARRA DA ESTIVA","BA","-13.62","-41.32"
"BARRA D'ALCANTARA","PI","-6.51","-42.11"
"BARRA DE GUABIRABA","PE","-8.42","-35.65"
"BARRA DE SANTA ROSA","PB","-6.72","-36.06"
"BARRA DE SANTANA","PB","-7.52","-36"
"BARRA DE SANTO ANTONIO","AL","-9.4","-35.5"
"BARRA DE SAO FRANCISCO","ES","-18.75","-40.89"
"BARRA DE SAO MIGUEL","AL","-9.84","-35.9"
"BARRA DE SAO MIGUEL","PB","-7.75","-36.31"
"BARRA DO BUGRES","MT","-15.07","-57.18"
"BARRA DO CHAPEU","SP","-24.47","-49.02"
"BARRA DO CHOCA","BA","-14.88","-40.57"
"BARRA DO CORDA","MA","-5.5","-45.24"
"BARRA DO GARCAS","MT","-15.89","-52.25"
"BARRA DO GUARITA","RS","-27.19","-53.71"
"BARRA DO JACARE","PR","-23.11","-50.18"
"BARRA DO MENDES","BA","-11.81","-42.05"
"BARRA DO OURO","TO","-7.68","-47.68"
"BARRA DO PIRAI","RJ","-22.47","-43.82"
"BARRA DO QUARAI","RS","-30.2","-57.55"
"BARRA DO RIBEIRO","RS","-30.29","-51.3"
"BARRA DO RIO AZUL","RS","-27.4","-52.41"
"BARRA DO ROCHA","BA","-14.21","-39.6"
"BARRA DO TURVO","SP","-24.75","-48.5"
"BARRA DOS COQUEIROS","SE","-10.9","-37.03"
"BARRA FUNDA","RS","-27.92","-53.03"
"BARRA LONGA","MG","-20.28","-43.04"
"BARRA MANSA","RJ","-22.54","-44.17"
"BARRA VELHA","SC","-26.63","-48.68"
"BARRACAO","PR","-26.25","-53.63"
"BARRACAO","RS","-27.67","-51.46"
"BARRAS","PI","-4.24","-42.29"
"BARREIRA","CE","-4.28","-38.64"
"BARREIRAS","BA","-12.15","-44.99"
"BARREIRAS DO PIAUI","PI","-9.92","-45.47"
"BARREIRINHA","AM","-2.79","-57.07"
"BARREIRINHAS","MA","-2.74","-42.82"
"BARREIROS","PE","-8.81","-35.18"
"BARRETOS","SP","-20.55","-48.56"
"BARRINHA","SP","-21.19","-48.16"
"BARRO","CE","-7.17","-38.78"
"BARRO ALTO","BA","-11.76","-41.91"
"BARRO ALTO","GO","-14.97","-48.91"
"BARRO DURO","PI","-5.81","-42.51"
"BARRO PRETO","BA","-14.81","-39.47"
"BARROLANDIA","TO","-9.83","-48.72"
"BARROQUINHA","CE","-3.01","-41.13"
"BARROS CASSAL","RS","-29.09","-52.58"
