municipality,state,distributor,regulated_tariff,tariff_start,tariff_end,multiple_distributors
XAXIM,SC,DCELT,0.68354,2026-01-01,2026-08-28,0
PORTEIRAO,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SANTO ANTONIO DA BARRA",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
TURVELANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"CORUMBA DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"VILA PROPICIO",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
CAVALCANTE,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SAO JOAO D'ALIANCA",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"TERESINA DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
BURITINOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
DAMIANOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
MAMBAI,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"MUNDO NOVO",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
SIMOLANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SITIO D'ABADIA",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"TEREZOPOLIS DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
BALIZA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
DOVERLANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
BRITANIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"AGUA LIMPA",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"PALESTINA DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
MARZAGAO,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"RIO QUENTE",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"DIVINOPOLIS DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"MONTE ALEGRE DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SAO DOMINGOS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"CAMPO ALEGRE DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
DAVINOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
OUVIDOR,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"TRES RANCHOS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"CIDADE OCIDENTAL",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
EDEALINA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
GUARINOS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"NOVA AMERICA",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
UIRAPURU,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"MONTIVIDIU DO NORTE",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
MUTUNOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
TROMBAS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
ISRAELANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
JAUPACI,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"NOVO BRASIL",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
ANHANGUERA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
CORUMBAIBA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
CUMARI,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"NOVA AURORA",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SANTA RITA DO NOVO DESTINO",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
FAINA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
MATRINCHA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
PANAMA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
VICENTINOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
VARJAO,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"GUARANI DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"NOVA ROMA",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
ARACU,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
AVELINOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
CATURAI,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
AMORINOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
IVOLANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
HEITORAI,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
MOSSAMEDES,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SANTA ROSA DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"TAQUARAL DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
APORE,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"CHAPADAO DO CEU",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
JESUPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"OURO VERDE DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"PETROLINA DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SAO FRANCISCO DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SANTA FE DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
AMARALINA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"CAMPOS VERDES",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
PEROLANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
PORTELANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SANTA RITA DO ARAGUAIA",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
PALMINOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"NOVO GAMA",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
AURILANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"CACHOEIRA DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
MOIPORA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SAO JOAO DA PARAUNA",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
CROMINIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
MAIRIPOTABA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"PROFESSOR JAMIL",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
ARENOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
CRISTIANOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
PALMELO,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SANTA CRUZ DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SAO MIGUEL DO PASSA QUATRO",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
URUTAI,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"AGUA FRIA DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
BONOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"MORRO AGUDO DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"BURITI DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"CORREGO DO OURO",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
CASTELANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"ALTO HORIZONTE",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
HIDROLINA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"NOVA IGUACU DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"PILAR DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SAO LUIZ DO NORTE",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
BONFINOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
CALDAZINHA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"LEOPOLDO DE BULHOES",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"ABADIA DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"VALPARAISO DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
BRAZABRANTES,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
DAMOLANDIA,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"NOVA VENEZA",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"SANTO ANTONIO DE GOIAS",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"NOVO PLANALTO",GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
VIANOPOLIS,GO,"EQUATORIAL GO",0.89181,2026-01-01,2026-10-21,0
"CAMPO ALEGRE",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"CAMPO GRANDE",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"COITE DO NOIA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
CRAIBAS,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"FEIRA GRANDE",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"GIRAU DO PONCIANO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
JUNQUEIRO,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"LAGOA DA CANOA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"LIMOEIRO DE ANADIA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"SAO SEBASTIAO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
TAQUARANA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"TEOTONIO VILELA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
TRAIPU,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
ARAPIRACA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"AGUA BRANCA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
CANAPI,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"DELMIRO GOUVEIA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
INHAPI,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"MATA GRANDE",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"OLHO D'AGUA DO CASADO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
PARICONHA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
PIRANHAS,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
JACUIPE,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
JAPARATINGA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"JOAQUIM GOMES",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
MARAGOGI,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"MATRIZ DE CAMARAGIBE",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"PASSO DE CAMARAGIBE",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"PORTO CALVO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"PORTO DE PEDRAS",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"SAO LUIS DO QUITUNDE",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"SAO MIGUEL DOS MILAGRES",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"FELIZ DESERTO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"IGREJA NOVA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"OLHO D'AGUA GRANDE",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
PENEDO,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
PIACABUCU,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"PORTO REAL DO COLEGIO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"SAO BRAS",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
BELEM,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"ESTRELA DE ALAGOAS",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
IGACI,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"MINADOR DO NEGRAO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"PALMEIRA DOS INDIOS",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"PAULO JACINTO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
QUEBRANGULO,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"TANQUE D'ARCA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
ATALAIA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
CAJUEIRO,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
CAPELA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"CHA PRETA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
FLEXEIRAS,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"MAR VERMELHO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
MESSIAS,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
PILAR,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"RIO LARGO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
VICOSA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
BATALHA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"BELO MONTE",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
CACIMBINHAS,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
CARNEIROS,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"DOIS RIACHOS",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"JACARE DOS HOMENS",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
JARAMATAIA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"MAJOR ISIDORO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
MARAVILHA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,1
MONTEIROPOLIS,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"OLHO D'AGUA DAS FLORES",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
OLIVENCA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"OURO BRANCO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
PALESTINA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"PAO DE ACUCAR",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"POCO DAS TRINCHEIRAS",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"SANTANA DO IPANEMA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"SAO JOSE DA TAPERA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"SENADOR RUI PALMEIRA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
ANADIA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"BOCA DA MATA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
CORURIPE,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
MARIBONDO,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
PINDOBA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
ROTEIRO,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"SAO MIGUEL DOS CAMPOS",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
BRANQUINHA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
CAMPESTRE,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"COLONIA LEOPOLDINA",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
IBATEGUARA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
JUNDIA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
MURICI,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"NOVO LINO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"SANTANA DO MUNDAU",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"SAO JOSE DA LAJE",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"UNIAO DOS PALMARES",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"COQUEIRO SECO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
MACEIO,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"SANTA LUZIA DO NORTE",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
SATUBA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"BARRA DE SAO MIGUEL",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"MARECHAL DEODORO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
"BARRA DE SANTO ANTONIO",AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
PARIPUEIRA,AL,"EQUATORIAL AL",0.85141,2026-05-03,2027-05-02,0
BODOQUENA,MS,EMS,0.9866,2026-04-22,2027-04-21,0
CARACOL,MS,EMS,0.9866,2026-04-22,2027-04-21,0
DEODAPOLIS,MS,EMS,0.9866,2026-04-22,2027-04-21,0
DOURADINA,MS,EMS,0.9866,2026-04-22,2027-04-21,0
"GLORIA DE DOURADOS",MS,EMS,0.9866,2026-04-22,2027-04-21,0
JATEI,MS,EMS,0.9866,2026-04-22,2027-04-21,0
JUTI,MS,EMS,0.9866,2026-04-22,2027-04-21,0
"NOVA ALVORADA DO SUL",MS,EMS,0.9866,2026-04-22,2027-04-21,0
VICENTINA,MS,EMS,0.9866,2026-04-22,2027-04-21,0
JAPORA,MS,EMS,0.9866,2026-04-22,2027-04-21,0
BATAYPORA,MS,EMS,0.9866,2026-04-22,2027-04-21,0
"NOVO HORIZONTE DO SUL",MS,EMS,0.9866,2026-04-22,2027-04-21,0
TAQUARUSSU,MS,EMS,0.9866,2026-04-22,2027-04-21,0
"ARAL MOREIRA",MS,EMS,0.9866,2026-04-22,2027-04-21,0
"LAGUNA CARAPA",MS,EMS,0.9866,2026-04-22,2027-04-21,0
FIGUEIRAO,MS,EMS,0.9866,2026-04-22,2027-04-21,0
GUADALUPE,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
JERUMENHA,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"HUGO NAPOLEAO",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SAO GONCALO DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
INHUMA,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"IPIRANGA DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SAO JOAO DA VARJOTA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
ITAUEIRA,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
PAVUSSU,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"RIO GRANDE DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"BELEM DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
JAICOS,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"MASSAPE DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"JOSE DE FREITAS",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"CAMPO ALEGRE DO FIDALGO",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"CAPITAO GERVASIO OLIVEIRA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"LAGOA DO BARRO DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"QUEIMADA NOVA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
LUZILANDIA,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"MATIAS OLIMPIO",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"MONTE ALEGRE DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"CAMPO LARGO DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"NOSSA SENHORA DOS REMEDIOS",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
PORTO,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SAO JOAO DO ARRAIAL",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
OEIRAS,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"ALEGRETE DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"PADRE MARCOS",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"VILA NOVA DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"PAES LANDIM",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SAO MIGUEL DO FIDALGO",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SOCORRO DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"CAJUEIRO DA PRAIA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"ILHA GRANDE",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"LUIS CORREIA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
PARNAIBA,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
ACAUA,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
PAULISTANA,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"DOMINGOS MOURAO",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"LAGOA DE SAO FRANCISCO",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"MILTON BRANDAO",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"PEDRO II",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
PIRACURUCA,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SAO JOAO DA FRONTEIRA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SAO JOSE DO DIVINO",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
BRASILEIRA,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"CAPITAO DE CAMPOS",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"COCAL DE TELHA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
PIRIPIRI,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
REGENERACAO,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"JOAO COSTA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SAO JOAO DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"RIBEIRA DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SAO JOSE DO PEIXE",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SAO PEDRO DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"JATOBA DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"JUAZEIRO DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SAO JOAO DA SERRA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"SIGEFREDO PACHECO",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"CARIDADE DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"CURRAL NOVO DO PIAUI",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
SIMOES,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"LAGOA ALEGRE",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"MIGUEL ALVES",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
UNIAO,PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"AGUA BRANCA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
"ALTO LONGA",PI,"EQUATORIAL PI",0.94669,2026-01-01,2026-12-01,0
